                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3825,                 1.8959,                 1.8016,                0.31524,                0.36546,                0.32239,                0.21907,                 1.2971,                 1.1613,                 1.7429,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1668,                  1.037,                 1.5572,                0.48523,                0.50072,                0.42697,                0.29722,                 1.0295,                0.90816,                 1.6224,               0.040021,              0.0064209,              0.0064209
                      3,                0.96094,                0.83883,                 1.5033,                0.42876,                0.57697,                 0.5011,                0.37312,                0.85568,                0.69992,                 1.6037,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88722,                  0.738,                  1.493,                 0.4658,                0.58436,                0.52512,                0.39414,                0.82941,                0.67329,                 1.5507,                0.00901,                0.00901,                0.00901
                      5,                0.86264,                0.70234,                  1.485,                0.51986,                0.63054,                0.54457,                0.40893,                0.83141,                0.64913,                  1.578,                0.00868,                0.00868,                0.00868
                      6,                0.84563,                0.66181,                 1.4767,                 0.5278,                0.65033,                0.57494,                  0.431,                0.82032,                0.61586,                 1.5683,                0.00835,                0.00835,                0.00835
                      7,                0.84086,                0.64768,                 1.4619,                0.56551,                0.64063,                0.59933,                0.45157,                0.82189,                0.60849,                 1.5557,                0.00802,                0.00802,                0.00802
                      8,                0.82601,                0.63693,                 1.4543,                0.56472,                0.66362,                 0.6036,                0.46034,                0.79655,                0.60906,                 1.5462,                0.00769,                0.00769,                0.00769
                      9,                0.81281,                0.61784,                 1.4608,                0.61032,                0.61858,                0.60869,                0.45724,                0.80254,                0.60367,                 1.5617,                0.00736,                0.00736,                0.00736
                     10,                 0.8076,                0.60386,                 1.4619,                0.60532,                0.65718,                0.61218,                0.46235,                0.79497,                0.59659,                 1.5445,                0.00703,                0.00703,                0.00703
                     11,                0.80877,                0.59707,                 1.4528,                0.64691,                0.63607,                0.63227,                 0.4744,                0.79861,                0.59054,                 1.5595,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79744,                0.59439,                 1.4441,                0.63843,                0.64233,                0.62216,                0.47607,                0.79382,                0.59662,                 1.5371,                0.00637,                0.00637,                0.00637
                     13,                0.79678,                0.57968,                   1.45,                0.68159,                0.66162,                0.67166,                0.51303,                0.78251,                0.55467,                 1.5475,                0.00604,                0.00604,                0.00604
                     14,                0.78529,                0.56993,                  1.437,                0.64612,                0.63632,                0.63517,                0.48202,                0.79354,                0.58222,                 1.5667,                0.00571,                0.00571,                0.00571
                     15,                0.77099,                0.55325,                 1.4339,                0.64269,                0.66581,                 0.6573,                0.50697,                0.77757,                0.55338,                 1.5395,                0.00538,                0.00538,                0.00538
                     16,                0.77886,                0.55658,                 1.4262,                0.67201,                0.63369,                0.64306,                0.49224,                0.77941,                0.56779,                 1.5461,                0.00505,                0.00505,                0.00505
                     17,                0.76621,                0.54546,                 1.4313,                0.63364,                0.68369,                0.66367,                0.51537,                0.77655,                0.55516,                 1.5124,                0.00472,                0.00472,                0.00472
                     18,                0.76645,                 0.5452,                 1.4282,                0.66906,                0.68164,                0.67135,                0.51567,                0.77616,                0.55769,                 1.5324,                0.00439,                0.00439,                0.00439
                     19,                0.75677,                0.53165,                 1.4206,                0.66363,                 0.6665,                0.65701,                0.50311,                0.77135,                0.55351,                 1.5354,                0.00406,                0.00406,                0.00406
                     20,                0.74896,                0.52508,                 1.4285,                 0.6512,                0.66736,                 0.6622,                0.50875,                0.77759,                0.55809,                 1.5286,                0.00373,                0.00373,                0.00373
                     21,                0.75207,                 0.5302,                 1.4024,                0.67991,                0.67371,                0.67396,                0.52183,                 0.7761,                0.54586,                  1.538,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74787,                0.51763,                 1.4065,                0.66078,                0.70015,                0.68275,                0.53347,                 0.7655,                0.54221,                 1.5379,                0.00307,                0.00307,                0.00307
                     23,                0.73823,                0.51412,                 1.3954,                 0.6645,                0.68202,                0.67556,                0.52622,                0.76771,                0.54446,                 1.5294,                0.00274,                0.00274,                0.00274
                     24,                 0.7381,                0.51146,                 1.4101,                0.68888,                0.67962,                 0.6893,                0.53502,                0.76897,                0.54291,                 1.5251,                0.00241,                0.00241,                0.00241
                     25,                0.73569,                0.50444,                 1.3971,                0.67404,                0.70869,                 0.6956,                0.54111,                0.76679,                 0.5338,                 1.5242,                0.00208,                0.00208,                0.00208
                     26,                0.72433,                0.49382,                 1.3958,                 0.6812,                0.70594,                0.69261,                0.53718,                0.76064,                0.53006,                 1.5211,                0.00175,                0.00175,                0.00175
                     27,                0.72728,                0.49329,                 1.3916,                0.67458,                0.68033,                0.68047,                0.52934,                0.76472,                0.54393,                 1.5294,                0.00142,                0.00142,                0.00142
                     28,                0.73127,                0.49272,                 1.3962,                0.67996,                0.67846,                0.68514,                0.53607,                0.76089,                0.53471,                 1.5201,                0.00109,                0.00109,                0.00109
                     29,                0.72443,                0.49069,                 1.3963,                0.68717,                0.67797,                0.69001,                0.54214,                0.75968,                0.53304,                 1.5142,                0.00076,                0.00076,                0.00076
                     30,                0.71652,                 0.4849,                 1.3908,                0.70992,                0.65988,                0.69157,                0.54291,                0.75958,                0.52959,                 1.5167,                0.00043,                0.00043,                0.00043
