                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4071,                 1.9147,                 1.8488,                0.50527,                 0.3533,                0.31557,                0.18618,                 1.5019,                   1.17,                 1.7761,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1642,                0.98188,                 1.5567,                0.54931,                0.51686,                0.41859,                0.29024,                 1.0037,                0.81957,                 1.6187,               0.040021,              0.0064209,              0.0064209
                      3,                0.96467,                0.82728,                 1.4948,                0.42723,                0.54988,                0.48478,                0.36278,                0.85177,                0.71657,                  1.575,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88516,                0.74394,                 1.4892,                0.44149,                0.56433,                0.49525,                0.37441,                0.85412,                0.68634,                 1.5693,                0.00901,                0.00901,                0.00901
                      5,                0.86093,                0.70388,                 1.4781,                 0.5532,                0.63167,                0.56243,                0.42428,                0.82013,                0.64267,                 1.5556,                0.00868,                0.00868,                0.00868
                      6,                0.84593,                0.66819,                 1.4708,                0.55921,                0.63889,                0.58238,                0.43259,                0.82172,                0.64585,                 1.5519,                0.00835,                0.00835,                0.00835
                      7,                0.84021,                0.65446,                 1.4524,                0.58821,                0.65041,                0.61488,                0.46432,                 0.8159,                0.59666,                 1.5189,                0.00802,                0.00802,                0.00802
                      8,                0.82312,                0.63881,                 1.4518,                0.58867,                0.64174,                0.59088,                0.45344,                0.78979,                0.60786,                 1.5396,                0.00769,                0.00769,                0.00769
                      9,                0.81069,                0.61793,                 1.4601,                0.61934,                0.62933,                0.61362,                0.45914,                0.80043,                0.59488,                 1.5828,                0.00736,                0.00736,                0.00736
                     10,                0.80659,                0.60385,                 1.4596,                0.63125,                 0.6416,                0.61821,                0.46708,                0.79498,                0.59944,                 1.5323,                0.00703,                0.00703,                0.00703
                     11,                0.80771,                0.59804,                 1.4502,                0.61179,                0.63838,                0.61499,                0.46385,                0.79855,                0.59166,                 1.5586,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79617,                0.59152,                 1.4372,                0.63197,                0.63303,                0.62534,                0.47959,                 0.7923,                0.59427,                 1.5351,                0.00637,                0.00637,                0.00637
                     13,                0.79388,                0.57952,                 1.4427,                0.65634,                0.67089,                0.66263,                0.51079,                 0.7756,                0.55906,                 1.5396,                0.00604,                0.00604,                0.00604
                     14,                0.78203,                0.56862,                 1.4332,                0.66909,                0.63112,                0.64767,                0.49433,                0.78474,                0.58026,                 1.5378,                0.00571,                0.00571,                0.00571
                     15,                0.77046,                0.55571,                 1.4302,                 0.6602,                 0.6604,                0.65607,                0.50676,                0.77392,                0.56529,                 1.5409,                0.00538,                0.00538,                0.00538
                     16,                0.77643,                0.55652,                 1.4202,                0.65989,                  0.658,                0.66576,                0.51299,                0.77282,                0.56654,                 1.5303,                0.00505,                0.00505,                0.00505
                     17,                0.76413,                0.54725,                 1.4262,                0.66257,                0.64572,                0.65229,                0.50775,                0.77729,                 0.5666,                 1.5052,                0.00472,                0.00472,                0.00472
                     18,                0.76713,                0.54535,                 1.4273,                0.70545,                0.67285,                0.69306,                0.53397,                0.77094,                0.55426,                 1.5261,                0.00439,                0.00439,                0.00439
                     19,                0.75609,                0.53273,                 1.4172,                0.67382,                0.67871,                0.68627,                0.52957,                0.76668,                0.54588,                 1.5285,                0.00406,                0.00406,                0.00406
                     20,                0.74635,                0.52455,                 1.4273,                0.70468,                 0.6726,                0.68165,                0.52628,                0.77123,                0.54941,                 1.5407,                0.00373,                0.00373,                0.00373
                     21,                0.75006,                0.52859,                 1.3993,                0.70164,                0.67778,                0.69373,                 0.5416,                0.76793,                0.54164,                 1.5215,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74579,                0.51873,                 1.4069,                0.67518,                 0.6995,                0.69042,                0.53689,                0.76005,                0.53953,                 1.5195,                0.00307,                0.00307,                0.00307
                     23,                0.73726,                0.51235,                 1.3929,                0.69736,                0.66332,                0.68681,                 0.5336,                0.76488,                 0.5438,                 1.5286,                0.00274,                0.00274,                0.00274
                     24,                0.73609,                0.51241,                 1.4059,                0.67547,                0.69746,                0.70177,                0.54242,                0.76754,                0.53628,                 1.5287,                0.00241,                0.00241,                0.00241
                     25,                0.73456,                 0.5028,                 1.3932,                0.69064,                0.68283,                0.69403,                0.53962,                0.76314,                0.53783,                 1.5184,                0.00208,                0.00208,                0.00208
                     26,                 0.7226,                0.49321,                 1.3927,                0.69178,                  0.674,                0.69151,                0.53849,                0.75796,                0.53054,                 1.5141,                0.00175,                0.00175,                0.00175
                     27,                0.72683,                0.49192,                  1.391,                0.69985,                0.67324,                 0.6941,                0.54224,                0.76163,                0.53807,                 1.5159,                0.00142,                0.00142,                0.00142
                     28,                0.72814,                0.49152,                 1.3966,                0.69648,                0.67473,                0.69334,                 0.5426,                0.75682,                0.53571,                 1.5117,                0.00109,                0.00109,                0.00109
                     29,                0.72282,                0.49045,                 1.3939,                0.69702,                0.68492,                0.70089,                0.55143,                0.75464,                 0.5291,                 1.5085,                0.00076,                0.00076,                0.00076
                     30,                0.71474,                0.48425,                 1.3879,                0.68506,                  0.691,                0.69835,                0.55036,                0.75381,                0.52861,                 1.5084,                0.00043,                0.00043,                0.00043
